question_uid,grade,subject,unit,learning_goal,question_text,option_1,option_1_tag,option_2,option_2_tag,option_3,option_3_tag,option_4,option_4_tag,correct_answer,level,hint,is_remedy
G7Ch1S1Q1,7,Science,The Ever Evolving World of Science,What is Science? A Way of Thinking,Which of the following is the starting point of scientific thinking?,Going to a lab to perform experiments,G7C1.4,Making a hypothesis,,Curiosity and asking "Why" or "How" about things we observe,,Learning all scientific terms and their meanings,G7C1.1,C,Theory,,false
G7Ch1S1Q2,7,Science,The Ever Evolving World of Science,What is Science? A Way of Thinking,Science is best described as:,A subject in which we memorise facts and definitions given in the textbook,G7C1.1,"A way of thinking that involves asking questions, observing carefully, and testing ideas",,Only the experiments done by scientists in big laboratories,G7C1.2,A collection of inventions and machines that make life easier,G7C1.3,B,Theory,,false
G7Ch1S2Q1,7,Science,The Ever Evolving World of Science,Curiosity to Discovery,Which of the following shows curiosity in science?,Only seeing a phenomenon,G7C1.4,Observing a phenomenon and asking 'why and how' questions,,Observing a phenomenon and memorizing its content,G7C1.1,Observing the phenomenon multiple times without thinking,G7C1.4,B,Understanding,,false
G7Ch1S2Q2,7,Science,The Ever Evolving World of Science,Curiosity to Discovery,Who is being curious towards science?,Meena copies scientific definitions from textbook to notebook.,G7C1.1,Vanya reads biographies of famous scientists.,G7C1.5,Jaya observes dhokla rising when steamed and asks the reason for it.,,Kavya cleans different lab apparatus.,G7C1.5,C,Application,,false
G7Ch1S3Q1,7,Science,The Ever Evolving World of Science,The Web of Science: Everything is Connected,Which statement is TRUE about science?,Each branch of science works completely separately.,G7C1.6,Physics is not connected to biology.,G7C1.6,Chemistry can be connected to either biology or physics but not both.,G7C1.6,Real-life phenomena can involve many branches of science together.,,D,Theory,,false
G7Ch1S3Q2,7,Science,The Ever Evolving World of Science,The Web of Science: Everything is Connected,A burning candle involves:,Only physics,G7C1.6,Only chemistry,G7C1.6,Both physics and chemistry,,"All of - physics, chemistry and biology",G7C1.6,C,Application,,false
G7Ch1S4Q1,7,Science,The Ever Evolving World of Science,Everyday Phenomena: Thinking Like a Scientist,"Assertion (A): Rusting of iron is a permanent change. Reason (R): All changes around us are permanent.","Both A and R are true and R is the correct explanation of A.",G7C1.7,"Both A and R are true, but R is not the correct explanation of A.",G7C1.7,"A is true, but R is false.",,"A is false, but R is true.",,C,Understanding,,false
G7Ch1S4Q2,7,Science,The Ever Evolving World of Science,Everyday Phenomena: Thinking Like a Scientist,When haldi turns red after adding soap it shows:,No reaction has occurred,G7C1.11,Soap changes only the smell of haldi,G7C1.11,Some materials react and show chemical changes,,Haldi melts in soap,G7C1.11,C,Application,,false
G7Ch1S5Q1,7,Science,The Ever Evolving World of Science,Science Time and Universe,Day and night occur because:,Earth revolves around the Sun,G7C1.8,Earth rotates around its axis,,Earth's axis is tilted,,"All of the above.",G7C1.9,B,Theory,,false
G7Ch1S5Q2,7,Science,The Ever Evolving World of Science,Science Time and Universe,Which of the following is a drawback of using a sundial for time measurement?,It does not show accurate time,G7C1.10,It shows only local time,,It requires an expensive setup,G7C1.10,Sundials do not use a battery,G7C1.10,B,Understanding,,false
G7Ch2S1Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",What makes a substance acidic or basic,Which of the following methods is always safe to use for testing physical properties of acidic and basic substances?,Only tasting,G7C2.1,Only feeling,G7C2.1,Only smelling,G7C2.1,It depends on the substance.,,D,Understanding,,false
G7Ch2S1Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",What makes a substance acidic or basic,Which of the following statements is TRUE?,Tasting any acidic or basic solution is always safe.,G7C2.1,Tasting any basic solution is safe but not the acidic one.,G7C2.4,Tasting any neutral solution is always safe.,G7C2.3,"Tasting any solution, either acidic, basic or neutral may not be safe.",,D,Understanding,,false
G7Ch2S2Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Nature's clue: Indicators,"Assertion (A): All natural indicators change colour when mixed with either acidic or basic solutions. Reason (R): Turmeric solution changes colour when added to a basic solution.","Both A and R are true and R is the correct explanation of A.",G7C2.12,"Both A and R are true, but R is not the correct explanation of A.",G7C2.12,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,,false
G7Ch2S2Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Nature's clue: Indicators,Which of the following is a correct statement?,Natural indicators are used to test only natural acidic or basic substances.,G7C2.13,Natural indicators are used to test only chemical acidic and basic substances.,G7C2.13,Natural indicators are used to test both natural and chemical acidic and basic substances.,,None of the above.,G7C2.13,C,Theory,,false
G7Ch2S3Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Synthetic indicators,Meeta put a few drops of lime juice and lime water on two separate blue litmus papers tagged A and B respectively. What would she observe?,A turns red and B remains blue,,A and B both turn red,G7C2.8,A remains blue and B turns red,G7C2.7,A and B both remain blue,G7C2.8,A,Application,,false
G7Ch2S3Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Synthetic indicators,"Which of the following is correct? 1) Red litmus turns blue only when basic solution is poured onto it. 2) Red litmus turns blue when neutral and basic solutions are poured onto it. 3) Blue litmus turns red only when acidic solution is poured onto it. 4) Blue litmus turns red and red litmus turns blue when neutral solution is poured onto it.","Only 1 and 3",,Only 2,G7C2.7,Only 4,G7C2.7,Only 2 and 4,G7C2.7,A,Understanding,,false
G7Ch2S4Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Understanding neutralisation,In which of the following processes does neutralisation occur?,"Mixing salt, sugar and lemon juice in water to make lemon water",G7C2.10,Using cleaning liquid to clean a toilet,,Using dishwashing soap to clean dirty utensils,,Brushing teeth with toothpaste,,D,Application,,false
G7Ch2S4Q2,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Understanding neutralisation,"Assertion (A): Distilled water can be used to neutralise acidic insect stings. Reason (R): Distilled water is neutral in nature.","Both A and R are true and R is the correct explanation of A.",G7C2.10,"Both A and R are true, but R is not the correct explanation of A.",G7C2.10,"A is true, but R is false.",,"A is false, but R is true.",,D,Understanding,,false
G7Ch2S5Q1,7,Science,"Exploring Substances: Acidic, Basic and Neutral",Acids and bases in daily life,Which of the following statements is TRUE?,All acids and bases occurring in nature are safe to taste.,G7C2.11,All natural acids are harmful to taste but basic substances are ok to taste.,G7C2.4,All neutral substances are ok to taste.,G7C2.3,Some acids are ok to taste.,,D,Understanding,,false
